,AAPL,GOOG,NVDA
2025-01-02 20:37:00+00:00,,190.5,137.5124969482422
2025-01-02 20:38:00+00:00,,190.55499267578125,137.5500030517578
2025-01-02 20:39:00+00:00,,190.5050048828125,137.4550018310547
2025-01-02 20:40:00+00:00,,190.61000061035156,137.58999633789062
2025-01-02 20:41:00+00:00,,190.5,137.60000610351562
2025-01-02 20:42:00+00:00,,190.52999877929688,137.63999938964844
2025-01-02 20:43:00+00:00,,190.48260498046875,137.58079528808594
2025-01-02 20:44:00+00:00,,190.46499633789062,137.5592041015625
2025-01-02 20:45:00+00:00,,190.38999938964844,137.77999877929688
2025-01-02 20:46:00+00:00,,190.5800018310547,137.91000366210938
2025-01-02 20:47:00+00:00,,190.6199951171875,138.0489044189453
2025-01-02 20:48:00+00:00,,190.54400634765625,137.97999572753906
2025-01-02 20:49:00+00:00,,190.5449981689453,138.06399536132812
2025-01-02 20:50:00+00:00,,190.47000122070312,138.26600646972656
2025-01-02 20:51:00+00:00,,190.33999633789062,138.1300048828125
2025-01-02 20:52:00+00:00,,190.50999450683594,138.36500549316406
2025-01-02 20:53:00+00:00,,190.5500030517578,138.44000244140625
2025-01-02 20:54:00+00:00,,190.52999877929688,138.39500427246094
2025-01-02 20:55:00+00:00,,190.47000122070312,138.27499389648438
2025-01-02 20:56:00+00:00,,190.41799926757812,138.10000610351562
2025-01-02 20:57:00+00:00,,190.51719665527344,138.1999053955078
2025-01-02 20:58:00+00:00,,190.49000549316406,138.24000549316406
2025-01-02 20:59:00+00:00,,190.58999633789062,138.27999877929688
